CMD,%MEM,%CPU,PSR,TIME
/home/cpu2017/bin/specinvok,0.0,0.3,5,265
/home/cpu2017/bin/specperl,0.7,0.0,5,265
/home/cpu2017/bin/specperl,0.2,103,5,265
specperl -I/home/cpu2017/bi,0.7,0.3,5,270
/home/cpu2017/bin/specperl,0.9,6.6,5,270
specperl -I/home/cpu2017/bi,0.6,0.3,5,270
/home/cpu2017/bin/specperl,0.8,3.4,4,270
/home/cpu2017/bin/specinvok,0.0,0.0,4,270
/home/cpu2017/bin/specperl,0.7,0.1,5,270
../run_base_train_mytest-64,4.1,99.2,5,270
/home/cpu2017/bin/specperl,0.8,71.6,4,270
/home/cpu2017/bin/specinvok,0.0,1.6,4,270
/home/cpu2017/bin/specperl,0.7,0.0,5,270
../run_base_train_mytest-64,1.0,110,4,270
specperl -I/home/cpu2017/bi,0.7,0.3,5,275
/home/cpu2017/bin/specperl,0.9,6.5,5,275
specperl -I/home/cpu2017/bi,0.6,0.3,5,275
/home/cpu2017/bin/specperl,0.8,2.9,4,275
/home/cpu2017/bin/specinvok,0.0,0.0,4,275
/home/cpu2017/bin/specperl,0.7,0.1,5,275
../run_base_train_mytest-64,4.4,99.1,5,275
/home/cpu2017/bin/specperl,0.8,25.9,4,275
/home/cpu2017/bin/specinvok,0.0,0.1,4,275
/home/cpu2017/bin/specperl,0.7,0.0,5,275
../run_base_train_mytest-64,1.4,99.6,4,275
specperl -I/home/cpu2017/bi,0.7,0.3,5,280
/home/cpu2017/bin/specperl,0.9,6.4,5,280
specperl -I/home/cpu2017/bi,0.6,0.3,5,280
/home/cpu2017/bin/specperl,0.8,2.5,4,280
/home/cpu2017/bin/specinvok,0.0,0.0,4,280
/home/cpu2017/bin/specperl,0.7,0.1,5,280
../run_base_train_mytest-64,4.7,98.9,5,280
/home/cpu2017/bin/specperl,0.8,15.8,4,280
/home/cpu2017/bin/specinvok,0.0,0.0,4,280
/home/cpu2017/bin/specperl,0.7,0.0,5,280
../run_base_train_mytest-64,1.6,99.0,4,280
specperl -I/home/cpu2017/bi,0.7,0.3,5,285
/home/cpu2017/bin/specperl,0.9,6.3,5,285
specperl -I/home/cpu2017/bi,0.6,0.3,5,285
/home/cpu2017/bin/specperl,0.8,2.2,4,285
/home/cpu2017/bin/specinvok,0.0,0.0,4,285
/home/cpu2017/bin/specperl,0.7,0.1,5,285
../run_base_train_mytest-64,4.7,98.9,5,285
/home/cpu2017/bin/specperl,0.8,11.4,4,285
/home/cpu2017/bin/specinvok,0.0,0.0,4,285
/home/cpu2017/bin/specperl,0.7,0.1,5,285
../run_base_train_mytest-64,1.6,99.2,4,285
specperl -I/home/cpu2017/bi,0.7,0.3,5,290
/home/cpu2017/bin/specperl,0.9,6.2,5,290
specperl -I/home/cpu2017/bi,0.6,0.3,5,290
/home/cpu2017/bin/specperl,0.8,2.0,4,290
/home/cpu2017/bin/specinvok,0.0,0.0,4,290
/home/cpu2017/bin/specperl,0.7,0.1,5,290
../run_base_train_mytest-64,4.7,98.7,5,290
/home/cpu2017/bin/specperl,0.8,8.9,4,290
/home/cpu2017/bin/specinvok,0.0,0.0,4,290
/home/cpu2017/bin/specperl,0.7,0.1,5,290
../run_base_train_mytest-64,1.6,98.9,4,290
specperl -I/home/cpu2017/bi,0.7,0.3,5,295
/home/cpu2017/bin/specperl,0.9,6.0,5,295
specperl -I/home/cpu2017/bi,0.6,0.3,5,295
/home/cpu2017/bin/specperl,0.8,1.8,4,295
/home/cpu2017/bin/specinvok,0.0,0.0,4,295
/home/cpu2017/bin/specperl,0.7,0.1,5,295
../run_base_train_mytest-64,4.7,98.7,5,295
/home/cpu2017/bin/specperl,0.8,7.3,4,295
/home/cpu2017/bin/specinvok,0.0,0.0,4,295
/home/cpu2017/bin/specperl,0.7,0.1,5,295
../run_base_train_mytest-64,1.6,99.1,4,295
